IMBD title ID,Original title,Release year,Genre,Duration,Country,Content Rating,Director,Income, Votes ,Score
tt0062622,2001: A Space Odyssey,12/12/1968,Adventure,,,,,,,
tt0033467,Citizen Kane,11/25/1948,Drama,,,,,,,
tt8579674,1917,1/23/2020,Drama,,,,,,,
tt0086879,Amadeus,2/15/1985,Biography,,,,,,,
tt0052357,Vertigo,11/18/1958,Mystery,,,,,,,
tt0053125,North by Northwest,10/28/1959,Adventure,,,,,,,
tt2106476,Jagten,11/22/2012,Drama,115,Denmark,R,Thomas Vinterberg,"$15,843,274 ",269.616,7.5
tt0056172,Lawrence of Arabia,10/29/1963,Adventure,,,,,,,
tt0070735,The Sting,3/21/1974,Comedy,,,,,,,
tt0082096,Das Boot,3/18/1982,Adventure,,,,,,,
tt0059578,Per qualche dollaro in più,12/20/1965,Western,132,Italy,#N/A,Sergio Leone,"$15,000,000 ",226.039,7.4
tt1832382,Jodaeiye Nader az Simin,10/21/2011,Drama,123,Iran,PG-13,Asghar Farhadi,"$22,926,076 ",214.165,7.4
tt0045152,Singing in the Rain,5/2/1953,Comedy,,,,,,,
